SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,crypto_id
1,Chainlink,LINK,21-09-17 23:59,0.207892001,0.155292004,0.189132005,0.169679999,2126270,59388000,5
2,Chainlink,LINK,22-09-17 23:59,0.181675002,0.139869004,0.169826001,0.150502995,1423220,52676050,5
3,Chainlink,LINK,23-09-17 23:59,0.157440007,0.126296997,0.149562001,0.131128997,1186670,45895150,5
4,Chainlink,LINK,24-09-17 23:59,0.190249994,0.130274996,0.131109998,0.170277998,1025740,59597300,5
5,Chainlink,LINK,25-09-17 23:59,0.182637006,0.158580005,0.170635998,0.182198003,1021370,63769300,5
6,Chainlink,LINK,26-09-17 23:59,0.223161995,0.182038993,0.182038993,0.194958001,1319050,68235300,5
7,Chainlink,LINK,27-09-17 23:59,0.206099004,0.194252998,0.194737002,0.194585994,1097010,68105100,5
8,Chainlink,LINK,28-09-17 23:59,0.283820003,0.191310003,0.193377003,0.243794993,8113680,85328250,5
9,Chainlink,LINK,29-09-17 23:59,0.334930986,0.214421004,0.245436996,0.30844,8896430,107954000,5
10,Chainlink,LINK,30-09-17 23:59,0.472557992,0.300089002,0.31249699,0.451364011,23440700,157977400,5
11,Chainlink,LINK,01-10-17 23:59,0.451884001,0.382034004,0.451546997,0.436646998,10005100,152826450,5
12,Chainlink,LINK,02-10-17 23:59,0.440263987,0.356766999,0.437667012,0.356766999,7101340,124868450,5
13,Chainlink,LINK,03-10-17 23:59,0.367253989,0.295816988,0.367253989,0.34553501,8211990,120937250,5
14,Chainlink,LINK,04-10-17 23:59,0.398694992,0.336883008,0.343185991,0.39736101,7604930,139076350,5
15,Chainlink,LINK,05-10-17 23:59,0.417905986,0.378042996,0.397029996,0.40653801,6291110,142288300,5
16,Chainlink,LINK,06-10-17 23:59,0.485049993,0.404341996,0.406318992,0.47576499,12167500,166517750,5
17,Chainlink,LINK,07-10-17 23:59,0.476170987,0.423777014,0.472245991,0.463656992,7408570,162279950,5
18,Chainlink,LINK,08-10-17 23:59,0.473417014,0.358078986,0.462485999,0.397136986,7203350,138997950,5
19,Chainlink,LINK,09-10-17 23:59,0.439559996,0.357163012,0.404505998,0.380589008,6781680,133206150,5
20,Chainlink,LINK,10-10-17 23:59,0.43305999,0.360251009,0.380398989,0.407469004,7138890,142614150,5
21,Chainlink,LINK,11-10-17 23:59,0.45411101,0.408787012,0.416346014,0.450462997,5477860,157662050,5
22,Chainlink,LINK,12-10-17 23:59,0.47576499,0.423020989,0.452885985,0.444011003,8959280,155403850,5
23,Chainlink,LINK,13-10-17 23:59,0.47378999,0.414081991,0.441635996,0.434603006,7521630,152111050,5
24,Chainlink,LINK,14-10-17 23:59,0.45936799,0.389205992,0.434848011,0.391860008,4219350,137151000,5
25,Chainlink,LINK,15-10-17 23:59,0.423696011,0.370719999,0.391133994,0.413516015,5135330,144730600,5
26,Chainlink,LINK,16-10-17 23:59,0.527722001,0.389497995,0.415524989,0.423806995,12123000,148332450,5
27,Chainlink,LINK,17-10-17 23:59,0.42238301,0.359183013,0.42238301,0.400848001,6321060,140296800,5
28,Chainlink,LINK,18-10-17 23:59,0.402731001,0.325789988,0.402731001,0.366228998,5336930,128180150,5
29,Chainlink,LINK,19-10-17 23:59,0.377265006,0.293920994,0.367808014,0.300000012,5812480,105000000,5
30,Chainlink,LINK,20-10-17 23:59,0.323951989,0.21627,0.298907995,0.223874003,7715660,78355900,5
31,Chainlink,LINK,21-10-17 23:59,0.266299009,0.203226998,0.223434001,0.252680987,5154740,88438350,5
32,Chainlink,LINK,22-10-17 23:59,0.285979003,0.249825999,0.258186013,0.264694989,4038780,92643250,5
33,Chainlink,LINK,23-10-17 23:59,0.27681601,0.228412002,0.263855994,0.248675004,2972470,87036250,5
34,Chainlink,LINK,24-10-17 23:59,0.294806004,0.236122996,0.244764999,0.254453003,3665750,89058550,5
35,Chainlink,LINK,25-10-17 23:59,0.257735997,0.235771999,0.255252987,0.254435003,2161880,89052250,5
36,Chainlink,LINK,26-10-17 23:59,0.254032999,0.224187002,0.254032999,0.227041006,1681240,79464350,5
37,Chainlink,LINK,27-10-17 23:59,0.235078007,0.219733998,0.227601007,0.224644005,1419580,78625400,5
38,Chainlink,LINK,28-10-17 23:59,0.227004007,0.199226007,0.224610001,0.206531003,1522820,72285850,5
39,Chainlink,LINK,29-10-17 23:59,0.218749002,0.182713002,0.205613002,0.198875993,2352990,69606600,5
