SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,crypto_id
1,TRON,TRX,14-09-17 23:59,0.00247881,0.00129849,0.00200603,0.00142683,58769.69922,0,9
2,TRON,TRX,15-09-17 23:59,0.00183066,0.00109126,0.00141922,0.00180086,26474.80078,0,9
3,TRON,TRX,16-09-17 23:59,0.017671,0.00137142,0.00181522,0.00183112,54534.69922,0,9
4,TRON,TRX,17-09-17 23:59,0.00387864,0.00178134,0.00183566,0.00331992,124998,0,9
5,TRON,TRX,18-09-17 23:59,0.00343808,0.00253439,0.00332362,0.00326251,159158,0,9
6,TRON,TRX,19-09-17 23:59,0.0232378,0.00174552,0.00327287,0.00229131,158416,0,9
7,TRON,TRX,20-09-17 23:59,0.00319903,0.00203884,0.00230572,0.00264741,83399.29688,0,9
8,TRON,TRX,21-09-17 23:59,0.00317317,0.00193503,0.00263815,0.0020793,99852.5,0,9
9,TRON,TRX,22-09-17 23:59,0.00217214,0.00185234,0.00207881,0.00195098,38829.30078,0,9
10,TRON,TRX,23-09-17 23:59,0.00234568,0.00192446,0.00193406,0.00234568,42314.30078,0,9
11,TRON,TRX,24-09-17 23:59,0.0024268,0.00208639,0.00234576,0.00224603,50022.69922,0,9
12,TRON,TRX,25-09-17 23:59,0.00565592,0.00146531,0.00225077,0.00177675,106284,0,9
13,TRON,TRX,26-09-17 23:59,0.00210412,0.001619,0.001777,0.0017378,61508.10156,0,9
14,TRON,TRX,27-09-17 23:59,0.0034946,0.00165884,0.00173609,0.002561,35671.10156,0,9
15,TRON,TRX,28-09-17 23:59,0.00347435,0.00181628,0.00256266,0.00290614,69531.79688,29255845.15,9
16,TRON,TRX,29-09-17 23:59,0.00297312,0.0014874,0.00290148,0.00198289,58161.5,19961571.98,9
17,TRON,TRX,30-09-17 23:59,0.00262113,0.00176275,0.00198332,0.0022606,53734.10156,22757253.11,9
18,TRON,TRX,01-10-17 23:59,0.00226946,0.00180578,0.00226145,0.0018477,72807.10156,18600626.64,9
19,TRON,TRX,02-10-17 23:59,0.00317661,0.00176811,0.00184766,0.00280301,887622,112120400,9
20,TRON,TRX,03-10-17 23:59,0.00318616,0.00212762,0.00274846,0.00244651,822107,97860400,9
21,TRON,TRX,04-10-17 23:59,0.00352133,0.00240008,0.00246911,0.00325024,1072200,130009600,9
22,TRON,TRX,05-10-17 23:59,0.00348845,0.00294175,0.00326924,0.00332022,704167,132808800,9
23,TRON,TRX,06-10-17 23:59,0.00335406,0.00281484,0.00332065,0.00299554,478330,119821600,9
24,TRON,TRX,07-10-17 23:59,0.00417294,0.00223972,0.00299495,0.00245922,352974,160132110.3,9
25,TRON,TRX,08-10-17 23:59,0.00285377,0.00232626,0.00256542,0.00252998,239490,164739647.7,9
26,TRON,TRX,09-10-17 23:59,0.00271907,0.00194333,0.00256671,0.00218108,350960,142021024.2,9
27,TRON,TRX,10-10-17 23:59,0.00228536,0.00196269,0.00218647,0.00222547,215705,145534610.6,9
28,TRON,TRX,11-10-17 23:59,0.00255267,0.00225816,0.00228889,0.00246993,289055,161521072.3,9
29,TRON,TRX,12-10-17 23:59,0.00254759,0.00219703,0.00247075,0.00234474,136756,153334272.3,9
30,TRON,TRX,13-10-17 23:59,0.00250994,0.00202201,0.00234463,0.00211275,184709,138163286.2,9
31,TRON,TRX,14-10-17 23:59,0.00249787,0.00208686,0.0021139,0.00239377,121404,156540589.1,9
32,TRON,TRX,15-10-17 23:59,0.00245971,0.00207755,0.00237766,0.00228561,116033,149467465.9,9
33,TRON,TRX,16-10-17 23:59,0.00233717,0.00200841,0.0022865,0.00215643,152645,141019739.8,9
34,TRON,TRX,17-10-17 23:59,0.00224333,0.00190726,0.00215567,0.0019437,116008,127108261.5,9
35,TRON,TRX,18-10-17 23:59,0.002106,0.00182982,0.00194294,0.00209482,189768,136990753.9,9
36,TRON,TRX,19-10-17 23:59,0.00213739,0.00188696,0.00209366,0.00191528,325575,125279422.4,9
37,TRON,TRX,20-10-17 23:59,0.00212555,0.00190122,0.00191594,0.00194219,211546,127068308,9
38,TRON,TRX,21-10-17 23:59,0.00233184,0.0018623,0.00195288,0.00229842,243113,150374752.4,9
39,TRON,TRX,22-10-17 23:59,0.0026057,0.00230585,0.00230585,0.00258301,244796,168994130.4,9
40,TRON,TRX,23-10-17 23:59,0.00262429,0.00229343,0.00257529,0.00242788,221618,158844708.1,9
41,TRON,TRX,24-10-17 23:59,0.00272162,0.00236508,0.00242456,0.00263238,297411,172231865.3,9
42,TRON,TRX,25-10-17 23:59,0.00328661,0.00263497,0.00265569,0.00303256,715742,198414919.3,9
43,TRON,TRX,26-10-17 23:59,0.00304784,0.00258808,0.0030291,0.00284075,794428,185865137.7,9
44,TRON,TRX,27-10-17 23:59,0.00321397,0.00278166,0.00284006,0.00305117,1589480,199632538,9
