Date,Close/Last,Volume,Open,High,Low,Symbol,stock_id
10-09-25,$522.40 ,18343600,$522.34 ,$524.33 ,$517.40 ,MSFT,4
10-08-25,$524.85 ,13363450,$523.28 ,$526.95 ,$523.09 ,MSFT,4
10-07-25,$523.98 ,14615210,$528.29 ,$529.80 ,$521.44 ,MSFT,4
10-06-25,$528.57 ,21388580,$518.61 ,$531.03 ,$518.20 ,MSFT,4
10-03-25,$517.35 ,15112320,$517.10 ,$520.49 ,$515.00 ,MSFT,4
10-02-25,$515.74 ,21222890,$517.64 ,$521.60 ,$510.68 ,MSFT,4
10-01-25,$519.71 ,22632340,$514.80 ,$520.51 ,$511.69 ,MSFT,4
09/30/2025,$517.95 ,19728230,$513.24 ,$518.16 ,$509.66 ,MSFT,4
09/29/2025,$514.60 ,17617780,$511.50 ,$516.85 ,$508.88 ,MSFT,4
09/26/2025,$511.46 ,16213130,$510.06 ,$513.94 ,$506.62 ,MSFT,4
09/25/2025,$507.03 ,15786470,$508.30 ,$510.01 ,$505.04 ,MSFT,4
09/24/2025,$510.15 ,13533710,$510.38 ,$512.48 ,$506.92 ,MSFT,4
09/23/2025,$509.23 ,19799580,$513.80 ,$514.59 ,$507.31 ,MSFT,4
09/22/2025,$514.45 ,20009310,$515.59 ,$517.74 ,$512.55 ,MSFT,4
09/19/2025,$517.93 ,52474090,$510.56 ,$519.30 ,$510.31 ,MSFT,4
09/18/2025,$508.45 ,18913700,$511.49 ,$513.07 ,$507.66 ,MSFT,4
09/17/2025,$510.02 ,15816590,$510.62 ,$511.29 ,$505.93 ,MSFT,4
09/16/2025,$509.04 ,19711920,$516.88 ,$517.23 ,$508.60 ,MSFT,4
09/15/2025,$515.36 ,17143790,$508.79 ,$515.47 ,$507.00 ,MSFT,4
09-12-25,$509.90 ,23624880,$506.65 ,$512.55 ,$503.85 ,MSFT,4
09-11-25,$501.01 ,18881610,$502.25 ,$503.17 ,$497.88 ,MSFT,4
09-10-25,$500.37 ,21611820,$502.98 ,$503.23 ,$496.72 ,MSFT,4
09-09-25,$498.41 ,14410540,$501.43 ,$502.25 ,$497.70 ,MSFT,4
09-08-25,$498.20 ,16771020,$498.11 ,$501.20 ,$495.03 ,MSFT,4
09-05-25,$495.00 ,31994850,$509.07 ,$511.97 ,$492.37 ,MSFT,4
09-04-25,$507.97 ,15509490,$504.30 ,$508.15 ,$503.15 ,MSFT,4
09-03-25,$505.35 ,16345080,$503.79 ,$507.79 ,$502.32 ,MSFT,4
09-02-25,$505.12 ,18128000,$500.47 ,$506.00 ,$496.81 ,MSFT,4
08/29/2025,$506.69 ,20961570,$508.66 ,$509.60 ,$504.49 ,MSFT,4
08/28/2025,$509.64 ,18015590,$507.09 ,$511.09 ,$505.50 ,MSFT,4
08/27/2025,$506.74 ,17277890,$502.00 ,$507.29 ,$499.90 ,MSFT,4
08/26/2025,$502.04 ,30835710,$504.36 ,$504.98 ,$498.51 ,MSFT,4
08/25/2025,$504.26 ,21638580,$506.63 ,$508.19 ,$504.12 ,MSFT,4
08/22/2025,$507.23 ,24324160,$504.25 ,$510.73 ,$502.41 ,MSFT,4
08/21/2025,$504.24 ,18443250,$503.69 ,$507.63 ,$502.72 ,MSFT,4
